init_goal,time
wp12_wp35,1.243410702001710888e+00
wp12_wp36,1.260933968995232135e+00
wp12_wp37,1.253054469998460263e+00
wp12_wp38,1.261563667998416349e+00
wp12_wp39,1.251157089995103888e+00
wp12_wp40,1.249326780998671893e+00
wp12_wp42,1.242172900994773954e+00
wp12_wp43,1.247718673002964351e+00
wp12_wp44,1.239128064997203182e+00
wp12_wp45,1.239810709994344506e+00
wp12_wp46,1.239674498996464536e+00
wp12_wp47,1.241948561000754125e+00
wp12_wp48,1.246456802000466269e+00
wp12_wp49,1.252980695004225709e+00
wp12_wp50,1.251880471005279105e+00
wp12_wp51,1.239158755000971723e+00
wp12_wp52,1.241367190996243153e+00
wp12_wp53,1.241725979998591356e+00
wp12_wp54,1.251800836995244026e+00
wp12_wp55,1.264282235999417026e+00
wp12_wp56,1.263133074004144873e+00
wp12_wp57,1.250747664998925757e+00
wp12_wp58,1.249300391995348036e+00
wp13_wp1,1.243116396995901596e+00
wp13_wp2,1.237347128000692464e+00
wp13_wp3,1.236781375999271404e+00
wp13_wp4,1.269104051003523637e+00
wp13_wp5,1.244525107998924796e+00
wp13_wp6,1.247992661003081594e+00
wp13_wp7,1.250745879005989991e+00
wp13_wp8,1.249807176995091140e+00
wp13_wp9,1.258706736996828113e+00
wp13_wp10,1.249561650998657569e+00
wp13_wp11,1.271278940999764018e+00
wp13_wp12,1.249996264996298123e+00
wp13_wp14,1.234174969999003224e+00
wp13_wp15,1.236884866004402284e+00
wp13_wp16,1.244946587001322769e+00
wp13_wp17,1.244103614000778180e+00
wp13_wp18,1.239430185996752698e+00
wp13_wp19,1.235532851002062671e+00
wp13_wp21,1.241389305003394838e+00
wp13_wp22,1.241248348000226542e+00
wp13_wp23,1.243819021998206154e+00
wp13_wp24,1.252661352002178319e+00
wp13_wp25,1.255795723001938313e+00
wp13_wp26,1.260842620999028441e+00
wp13_wp27,1.268001743999775499e+00
wp13_wp28,1.245617827000387479e+00
wp13_wp29,1.248862625005131122e+00
wp13_wp30,1.250787042001320515e+00
wp13_wp31,1.279997211000591051e+00
wp13_wp32,1.248377787000208627e+00
wp13_wp33,1.252481850002368446e+00
wp13_wp34,1.245512606001284439e+00
wp13_wp35,1.254612930002622306e+00
wp13_wp36,1.250158000999363139e+00
wp13_wp37,1.242355238005984575e+00
wp13_wp38,1.246906308006145991e+00
wp13_wp39,1.239709000001312234e+00
